id,aptitude,numBalls,pattern,difficulty,name
1,2,1,"300,0,0,0,0,9,0",10,A
2,2,2,"330,0,0,0,0,9,0",11,A
3,2,3,"3,0,0,0,0,9,0",12,A
4,2,4,"4,0,0,0,0,9,0",25,A
5,2,5,"5,0,0,0,0,8,0",39,A
6,2,6,"6,0,0,0,0,8,0",50,A
7,2,7,"7,0,0,0,0,7,0",69,A
8,2,8,"8,0,0,0,0,7,0",84,A
9,2,9,"9,0,0,0,0,6,0",99,A
10,0,1,"40004000300,0,0,0,0,9,0",12,B
11,0,1,"50000,0,0,0,0,9,360",17,C
12,0,1,"70000,0,0,0,0,9,720",18,D
13,0,2,"4040404030340404040,0,0,0,0,9,0",14,B
14,0,2,"55000,0,0,0,0,9,360",19,C
15,0,2,"7700000,0,0,0,0,9,720",22,D
16,0,3,"3,1,1,0,0,9,0",15,B
17,0,3,"51,1,0,1,-1,7,0",18,C
18,0,3,"55500,0,0,0,0,8,0",21,D
19,0,3,"441,0,0,0,0,9,0",23,G
20,0,3,"531,0,0,0,0,9,0",25,S
21,0,3,"441,1,1,0,0,9,0",23,H
22,0,3,"441333,1,1,0,0,9,0",23,T
23,0,3,"531,1,1,0,0,9,0",25,U
24,0,3,"5313333,0,0,0,0,9,0",25,O
25,0,3,"5313333,1,1,0,0,9,0",25,N
26,0,3,"315171,0,0,0,0,9,0",35,G
27,0,3,"315171,1,1,0,0,8,0",35,H
28,0,3,"33342,0,0,0,0,9,0",22,F
29,0,3,"33342,1,1,0,0,9,0",22,L
30,0,3,"3334242,0,0,0,0,9,0",22,E
31,0,3,"3334242,1,1,0,0,9,0",22,K
32,0,3,"3333333333333337770000,1,1,0,0,9,360",33,N
34,0,3,"3333333333333337770000,1,1,0,0,9,720",33,S
35,0,3,"1919190000,0,1,-1,1,7,360",39,R
36,0,3,"60606050505606060,0,0,0,0,8,0",40,P
37,0,3,"63141,0,0,0,0,9,0",24,P
38,0,3,"63141,1,1,0,0,9,0",24,M
39,0,3,"66300,0,0,0,0,7,0",23,I
40,0,3,"66300,1,1,0,0,7,0",23,J
41,0,3,"72312,0,0,0,0,8,0",29,F
42,0,3,"72312,1,1,0,0,8,0",29,J
43,0,3,"73131,1,1,0,0,8,0",29,I
44,0,3,"74112,0,0,0,0,9,0",29,L
45,0,3,"74112,1,1,0,0,9,0",29,K
46,0,3,"74130,0,0,0,0,9,0",29,E
